frame_id,xmin,ymin,xmax,ymax,confidence,class,x_cen,y_cen
1,654.078125,321.6271057128906,677.2216796875,365.2829284667969,0.27,1.0,665.64990234375,343.45501708984375
2,656.3938503203641,322.74414629585175,675.1104030547391,356.9542903388205,0.42,1.0,665.7521266875516,339.8492183173361
3,656.442183036336,321.0392877323966,675.158735770711,355.24943177536534,-1.0,1.0,665.8004594035235,338.14435975388096
4,656.4905157523079,319.3344291689414,675.2070684866829,353.5445732119102,-1.0,1.0,665.8487921194954,336.4395011904258
5,656.5388484682799,317.62957060548626,675.2554012026549,351.839714648455,-1.0,1.0,665.8971248354674,334.73464262697064
6,656.5871811842518,315.9247120420311,675.3037339186268,350.13485608499985,-1.0,1.0,665.9454575514393,333.0297840635155
7,656.6355139002237,314.21985347857594,675.3520666345987,348.4299975215447,-1.0,1.0,665.9937902674112,331.3249255000603
8,656.6838466161956,312.5149949151208,675.4003993505706,346.72513895808953,-1.0,1.0,666.0421229833831,329.62006693660516
9,656.7321793321676,310.8101363516656,675.4487320665426,345.02028039463437,-1.0,1.0,666.0904556993551,327.91520837315
10,656.7805120481395,309.10527778821046,675.4970647825145,343.3154218311792,-1.0,1.0,666.138788415327,326.21034980969483
11,656.8288447641114,307.4004192247553,675.5453974984864,341.61056326772405,-1.0,1.0,666.1871211312989,324.50549124623967
12,652.694323781045,307.7660241381382,674.66429448417,360.6533532397007,0.29,1.0,663.6793091326075,334.20968868891947
13,651.809394022066,310.2266745867741,673.779364725191,363.1140036883366,-1.0,1.0,662.7943793736285,336.67033913755535
14,650.9244642630871,312.68732503540997,672.8944349662121,365.57465413697247,-1.0,1.0,661.9094496146496,339.1309895861912
15,650.3113547719665,321.10440375176125,670.1436301625915,363.59695746269875,0.26,1.0,660.227492467279,342.35068060723
16,649.1800048649957,323.799729812437,669.0122802556207,366.2922835233745,-1.0,1.0,659.0961425603082,345.0460066679058
17,648.0486549580248,326.4950558731128,667.8809303486498,368.9876095840503,-1.0,1.0,657.9647926533373,347.74133272858154
18,646.917305051054,329.19038193378856,666.749580441679,371.68293564472606,-1.0,1.0,656.8334427463665,350.4366587892573
19,647.2365470469235,328.4281250576298,667.4181876719235,368.8636719326299,0.33,1.0,657.3273673594235,348.64589849512987
