frame_id,xmin,ymin,xmax,ymax,confidence,class
1,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
2,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
4,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
5,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
6,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
7,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
8,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
9,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
10,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
11,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
12,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
13,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
14,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
15,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
16,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
17,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
18,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
19,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
20,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
21,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
22,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
23,555.9362182617188,660.661376953125,623.4198608398438,685.0068359375,0.41,3.0
24,567.778564453125,647.0302734375,641.040771484375,685.345703125,0.68,3.0
25,583.3629760742188,635.0953369140625,656.5099487304688,684.6981201171875,0.79,3.0
26,600.2138671875,623.120361328125,673.860107421875,683.03466796875,0.82,3.0
27,619.419189453125,611.3133544921875,688.9102783203125,666.5289306640625,0.86,3.0
28,637.1373291015625,600.79052734375,705.7303466796875,655.765869140625,0.85,3.0
29,653.3192749023438,586.3653564453125,720.9705200195312,642.0233154296875,0.87,3.0
30,669.1835327148438,571.4739990234375,736.2759399414062,625.5086669921875,0.86,3.0
31,684.446533203125,555.7565307617188,750.093505859375,609.7935180664062,0.86,3.0
32,700.9451904296875,540.2744750976562,764.6318359375,592.8722534179688,0.87,3.0
33,715.87744140625,525.2857666015625,778.623046875,578.186767578125,0.86,3.0
34,731.642333984375,519.175537109375,791.821533203125,569.349853515625,0.87,3.0
35,745.6514892578125,511.3798828125,805.6805419921875,561.242431640625,0.87,3.0
36,757.2391357421875,504.19769287109375,814.1041259765625,553.8872680664062,0.84,3.0
37,761.748291015625,495.47235107421875,819.20849609375,544.5748901367188,0.86,3.0
38,758.8853759765625,485.47796630859375,813.3145751953125,534.4812622070312,0.85,3.0
39,749.5413818359375,475.9139404296875,803.4376220703125,523.9484252929688,0.84,3.0
40,739.3084716796875,465.80242919921875,790.638916015625,513.8170776367188,0.83,3.0
41,730.4066162109375,455.94970703125,779.2237548828125,503.7059326171875,0.83,3.0
42,719.9237670898438,446.75115966796875,769.6417846679688,492.70001220703125,0.83,3.0
43,712.8895263671875,437.423828125,761.5677490234375,483.86749267578125,0.81,3.0
44,713.37060546875,429.1358642578125,760.5810546875,474.8924560546875,0.82,3.0
45,727.92919921875,422.01519775390625,774.2958984375,467.05047607421875,0.84,3.0
46,741.7513427734375,415.638916015625,787.1141357421875,459.063720703125,0.83,3.0
47,753.9588623046875,408.548583984375,797.8885498046875,452.638671875,0.8,3.0
48,765.5634155273438,415.85028076171875,808.6744995117188,457.40313720703125,0.83,3.0
49,776.4595947265625,431.8236083984375,820.14111328125,474.23681640625,0.82,3.0
50,788.4190673828125,452.7056884765625,829.8096923828125,494.854248046875,0.8,3.0
51,799.0288696289062,474.8232421875,839.3134155273438,516.6602783203125,0.81,3.0
52,808.8297729492188,485.04986572265625,849.5698852539062,525.9963989257812,0.8,3.0
53,819.3619384765625,503.9865417480469,858.6031494140625,545.09423828125,0.78,3.0
54,827.4222412109375,496.5210266113281,867.8870849609375,538.37646484375,0.72,3.0
55,836.5791625976562,491.23590087890625,874.6520385742188,531.0337524414062,0.78,3.0
56,844.9716186523438,486.36309814453125,883.9459838867188,524.0748901367188,0.79,3.0
57,853.56298828125,480.14178466796875,891.454345703125,517.3272094726562,0.8,3.0
58,861.1275634765625,472.750244140625,898.6773681640625,511.39288330078125,0.79,3.0
59,868.873046875,467.0850830078125,905.6427001953125,506.2838134765625,0.79,3.0
60,875.6410522460938,461.23248291015625,912.2788696289062,500.30157470703125,0.77,3.0
61,884.74853515625,456.17913818359375,919.0067138671875,494.02191162109375,0.77,3.0
62,889.823486328125,449.9862060546875,924.340087890625,486.14208984375,0.78,3.0
63,896.4052734375,444.0167236328125,931.95654296875,480.99114990234375,0.77,3.0
64,902.7005615234375,439.8941650390625,937.1197509765625,475.41986083984375,0.79,3.0
65,908.08837890625,434.3359069824219,941.18994140625,469.8293762207031,0.75,3.0
66,914.3692016601562,429.6168212890625,948.1039428710938,466.52032470703125,0.74,3.0
67,921.0127563476562,425.44708251953125,953.2349243164062,459.78363037109375,0.77,3.0
68,926.6051025390625,420.098876953125,958.3092041015625,454.35699462890625,0.79,3.0
69,931.8707275390625,416.523681640625,964.6971435546875,450.410888671875,0.78,3.0
70,936.3002319335938,410.6820068359375,967.6792602539062,445.2176513671875,0.79,3.0
71,941.56494140625,407.67279052734375,972.466796875,440.85015869140625,0.76,3.0
72,946.5986328125,403.1339111328125,978.3388671875,436.3408203125,0.76,3.0
73,950.8277587890625,398.59808349609375,980.3052978515625,432.0450439453125,0.76,3.0
74,955.3159790039062,394.8619384765625,984.9624633789062,427.4267578125,0.72,3.0
75,959.857666015625,390.0335693359375,988.6212158203125,422.4580078125,0.76,3.0
76,963.216552734375,386.1949768066406,992.676513671875,418.1958923339844,0.75,3.0
77,967.1290283203125,382.07818603515625,995.1778564453125,414.23846435546875,0.76,3.0
78,970.6334228515625,378.4089050292969,996.1307373046875,410.2095031738281,0.77,3.0
79,974.2105712890625,374.01025390625,1001.3990478515625,405.1322021484375,0.78,3.0
80,978.2653198242188,370.15374755859375,1002.0936889648438,401.91607666015625,0.73,3.0
81,980.6253662109375,365.9014892578125,1005.7779541015625,397.413330078125,0.74,3.0
82,983.6771240234375,362.05426025390625,1007.7034912109375,394.48785400390625,0.73,3.0
83,986.005126953125,357.9419860839844,1010.228271484375,388.9303283691406,0.83,3.0
84,988.6138916015625,354.261474609375,1011.8253173828125,385.540283203125,0.8,3.0
85,991.9468994140625,351.8101501464844,1013.3077392578125,381.5523986816406,0.67,3.0
86,994.947021484375,346.587646484375,1018.094482421875,378.8045654296875,0.74,3.0
87,1012.47900390625,344.4977722167969,1035.201904296875,378.8752136230469,0.57,3.0
88,1035.044189453125,346.195068359375,1056.855224609375,378.48773193359375,0.73,3.0
89,1057.131103515625,345.71368408203125,1080.259521484375,378.99981689453125,0.71,3.0
90,1062.104736328125,343.84222412109375,1084.747802734375,376.86358642578125,0.59,3.0
91,1063.256103515625,340.34478759765625,1086.012939453125,373.00701904296875,0.66,3.0
92,1063.5389404296875,336.53240966796875,1087.1632080078125,369.17071533203125,0.7,3.0
93,1064.217041015625,332.03515625,1088.294189453125,363.75811767578125,0.64,3.0
94,1063.1873779296875,329.61016845703125,1087.9608154296875,359.85919189453125,0.69,3.0
95,1062.6990966796875,326.72491455078125,1088.2813720703125,356.77960205078125,0.77,3.0
96,1062.5380859375,322.7919921875,1088.0537109375,353.33544921875,0.81,3.0
97,1061.380126953125,319.69781494140625,1087.762451171875,349.62725830078125,0.72,3.0
98,1067.0819091796875,315.2142639160156,1091.4168701171875,345.8742980957031,0.71,3.0
99,1071.4168701171875,314.71771240234375,1097.7388916015625,343.77691650390625,0.66,3.0
100,1075.292724609375,312.57696533203125,1104.575927734375,341.266357421875,0.7,3.0
101,1088.802978515625,312.435302734375,1119.192138671875,341.0224609375,0.73,3.0
102,1103.9412841796875,311.36663818359375,1133.8013916015625,340.29327392578125,0.67,3.0
103,1119.8380126953125,311.7067565917969,1149.6397705078125,340.5901794433594,0.7,3.0
104,1136.038818359375,312.3343505859375,1168.075927734375,341.56256103515625,0.76,3.0
105,1151.286376953125,312.55023193359375,1183.7900390625,341.71612548828125,0.76,3.0
106,1171.964111328125,313.6767272949219,1203.819580078125,343.8119812011719,0.72,3.0
107,1189.15673828125,314.2987060546875,1222.9140625,344.936767578125,0.62,3.0
108,1200.115234375,315.2296142578125,1235.5185546875,344.7177734375,0.56,3.0
109,1202.4183349609375,312.6974792480469,1238.3260498046875,342.4184875488281,0.64,3.0
110,1204.104736328125,309.71490478515625,1239.454833984375,340.5841064453125,0.66,3.0
111,1204.4832763671875,307.4390869140625,1239.6644287109375,336.9234619140625,0.7,3.0
112,1204.34423828125,305.3145751953125,1240.60498046875,334.513916015625,0.6,3.0
113,1202.30419921875,300.560546875,1239.919921875,332.2724609375,0.27,3.0
114,1199.12255859375,299.66943359375,1235.81689453125,329.1414794921875,0.56,3.0
115,1195.0908203125,296.75042724609375,1234.2080078125,325.94427490234375,0.67,3.0
116,1193.25341796875,294.2117004394531,1233.0654296875,322.4527893066406,0.71,3.0
117,1190.56640625,291.34075927734375,1228.59765625,319.85382080078125,0.73,3.0
118,1187.646728515625,288.310791015625,1226.882080078125,316.69287109375,0.68,3.0
