frame_id,xmin,ymin,xmax,ymax,confidence,class,x_cen,y_cen
1,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
2,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
3,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
4,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
5,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
6,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
7,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
8,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
9,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
10,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
11,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
12,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
13,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
14,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
15,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
16,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
17,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
18,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
19,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
20,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
21,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
22,588.6780395507812,671.8341064453125,590.6780395507812,673.8341064453125,-1.0,3.0,589.6780395507812,672.8341064453125
23,555.9362182617188,660.661376953125,623.4198608398438,685.0068359375,0.41,3.0,589.6780395507812,672.8341064453125
24,558.8170890503507,651.0732090018081,632.0792960816007,689.3886386893081,0.68,3.0,595.4481925659757,670.2309238455581
25,571.757249534106,639.9506211288799,644.904222190356,689.5534043320049,0.79,3.0,608.330735862231,664.7520127304424
26,588.6533897274563,627.7364653989054,662.2996299618313,687.6507720395304,0.82,3.0,625.4765098446438,657.6936187192179
27,609.3585765032956,619.104450920296,678.8496653704831,674.320027092171,0.86,3.0,644.1041209368893,646.7122390062335
28,628.8490052795473,607.6010336243141,697.4420228576723,662.5763754211891,0.85,3.0,663.1455140686098,635.0887045227516
29,647.7017407960478,593.9171044592517,715.3529859132353,649.5750634436267,0.87,3.0,681.5273633546416,621.7460839514392
30,665.7211946480173,579.6545408581851,732.8136018745798,633.6892088269351,0.86,3.0,699.2673982612986,606.6718748425601
31,683.1989275914867,563.4856781807409,748.8459002477367,617.5226654854284,0.86,3.0,716.0224139196117,590.5041718330847
32,700.553890810664,547.2111839786411,764.2405363184765,599.8089622989536,0.87,3.0,732.3972135645703,573.5100731387973
33,716.653159397505,530.2029036154202,779.398764866255,583.1039045919827,0.86,3.0,748.02596213188,556.6534041037014
34,733.006935234632,518.0313782926546,793.186134453382,568.2056946989046,0.87,3.0,763.096534844007,543.1185364957796
35,747.5317838544952,507.08152357383517,807.5608365888702,556.9440724019602,0.87,3.0,777.5463102216827,532.0127979878977
36,761.5190611996106,498.1275176899153,818.3840514339856,547.8170928852278,0.84,3.0,789.9515563167981,522.9723052875715
