frame_id,xmin,ymin,xmax,ymax,confidence,class
1,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
2,208.30389404296875,52.909515380859375,258.6820068359375,80.80880737304688,0.33,3.0
3,211.18292236328125,51.564971923828125,259.01275634765625,78.43766784667969,0.47,3.0
4,212.58010864257812,56.42706298828125,262.6686706542969,79.74893188476562,0.27,3.0
5,222.48193359375,64.642822265625,258.9648132324219,83.00079345703125,0.31,3.0
6,216.13565063476562,65.19064331054688,255.53817749023438,83.64389038085938,0.32,3.0
7,213.48428344726562,64.03038024902344,253.28048706054688,84.23039245605469,0.32,3.0
8,213.50973510742188,65.45065307617188,251.62753295898438,85.20822143554688,0.69,3.0
9,210.1253662109375,65.46418762207031,249.63824462890625,85.78172302246094,0.62,3.0
10,206.5675048828125,66.73503112792969,247.59478759765625,87.10493469238281,0.64,3.0
11,205.9366455078125,67.08937072753906,246.238037109375,87.24327087402344,0.69,3.0
12,203.73745727539062,67.43972778320312,244.56277465820312,87.07452392578125,0.61,3.0
13,199.66140747070312,66.3385009765625,242.00430297851562,86.93603515625,0.61,3.0
14,200.49172973632812,67.38514709472656,241.09759521484375,87.17898559570312,0.43,3.0
15,197.99005126953125,67.36610412597656,239.89889526367188,87.9490966796875,0.45,3.0
16,196.42120361328125,67.44419860839844,239.85797119140625,88.39971923828125,0.25,3.0
17,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
18,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
19,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
20,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
21,186.7804718017578,68.43801879882812,233.2020721435547,91.61013793945312,0.44,3.0
22,181.66738891601562,69.20718383789062,231.47592163085938,92.08255004882812,0.53,3.0
23,179.26104736328125,69.567626953125,230.4659423828125,92.0068359375,0.54,3.0
24,175.72201538085938,71.13150024414062,227.81527709960938,92.06637573242188,0.27,3.0
25,174.95486450195312,70.4901123046875,223.88015747070312,92.42864990234375,0.27,3.0
26,174.33778381347656,70.85346221923828,222.7389373779297,93.4111557006836,0.5,3.0
27,170.82595825195312,71.19068908691406,223.66067504882812,94.51426696777344,0.47,3.0
28,170.02252197265625,71.34870910644531,225.192626953125,95.41798400878906,0.63,3.0
29,167.97412109375,73.62107849121094,218.33026123046875,95.68601989746094,0.47,3.0
30,166.25894165039062,72.42654418945312,218.38156127929688,95.67544555664062,0.62,3.0
31,165.69052124023438,73.37040710449219,217.24600219726562,96.05860900878906,0.49,3.0
32,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
33,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
34,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
35,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
36,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
37,151.3671417236328,73.49164581298828,207.6366729736328,98.78978729248047,0.25,3.0
38,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
39,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
40,150.47152709960938,77.58512878417969,204.95419311523438,101.03038024902344,0.26,3.0
41,146.7213134765625,77.90109252929688,201.705322265625,101.42681884765625,0.44,3.0
42,142.94357299804688,77.71263122558594,199.92160034179688,101.79493713378906,0.55,3.0
43,141.27877807617188,77.97134399414062,194.58975219726562,100.90164184570312,0.64,3.0
44,139.2880401611328,78.46734619140625,193.60496520996094,102.0677490234375,0.69,3.0
45,136.13998413085938,78.95066833496094,189.83816528320312,102.56089782714844,0.75,3.0
